SPECTRUM DATA FILE
SpectrumCount:	10
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	input1_2	input1_1	input1_0	input0_9	input0_8	input0_7	input0_6	input0_5	input0_4	input0_3
Date:	2022-02-16T14:35:49.0865719+00:00	2022-02-16T14:37:41.3886999+00:00	2022-02-16T14:39:40.1929287+00:00	2022-02-16T14:40:46.5946066+00:00	2022-02-16T14:41:45.1953320+00:00	2022-02-16T14:42:53.9984644+00:00	2022-02-16T14:43:47.8998228+00:00	2022-02-16T14:44:49.8006079+00:00	2022-02-16T14:46:07.6025769+00:00	2022-02-16T14:47:17.8047664+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	5	5	5	5	5	5	5	5	5	5
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.1333683	0.122907	0.1094962	0.09269594	0.0801761	0.06888603	0.06179233	0.05199446	0.04075538	0.0296274
Temperature:	23.31226	23.31226	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.31226
DiagramColor:	16711680	200	49152	16711935	42495	12632064	3368611	53970	65280	255
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10
194.5569	13.14	-8.379428	-8.084038	23.5041	-3.402255	3.647378	-9.094587	9.513669	-7.58803	-10.67864
194.8998	-3.756701	-3.620934	9.09081	27.99171	-4.713398	6.972249	-2.037866	10.31722	-12.56071	-10.46341
195.2427	-21.36236	4.682028	21.91366	17.02778	-10.51153	13.62866	14.15369	18.03061	-20.57966	-14.50607
195.5856	-15.60395	1.193902	7.738032	11.53233	-7.642522	11.9629	12.98571	-1.474697	-23.18164	-7.797879
195.9285	-17.7013	-14.43483	-4.743746	5.713865	-9.246692	-2.99004	7.288375	-8.109808	-20.10779	-15.21433
196.2713	-8.237728	-18.43861	-8.832854	13.61652	-14.00614	-6.213259	-5.653206	-5.197072	-15.94708	-11.95446
196.6142	5.033134	-5.60457	2.905688	-6.673626	-0.4793392	0.567198	-6.628831	2.802822	-6.977737	-15.5772
196.9571	16.70265	12.28039	5.492191	-17.34234	11.97318	-2.68079	-0.8463542	-2.069686	-19.26273	-6.636147
197.2999	3.614321	12.12494	30.06414	-17.81711	0.7122004	-18.43047	4.869939	-3.528681	-37.67505	-14.24035
197.6428	-0.4232166	-1.575897	38.18508	-0.08288593	2.649076	4.597411	3.724476	10.96614	-42.31317	-4.824065
197.9856	-10.82653	-6.834751	18.05341	-6.220169	3.166999	16.9354	-5.775865	-0.02863556	-25.17034	2.441853
198.3284	-11.14117	-9.574306	-1.742478	-1.518763	13.7791	8.065103	-9.709328	5.464087	-7.605689	-1.582882
198.6712	-20.48232	-5.495066	-12.33613	-1.895051	-0.7715237	-7.596647	-13.61099	-8.505453	6.350883	-9.740458
199.0141	-11.6028	1.572372	-3.265236	-0.9787884	10.90843	-1.501015	-2.581316	-17.02014	5.261941	-12.26978
199.3569	-8.554786	7.270376	4.521491	-0.40961	5.115164	-1.054924	-0.03085599	-17.01809	2.218128	-3.205636
199.6997	-13.63054	1.864176	4.367437	13.29883	19.22651	-7.70689	-4.189167	8.587084	-12.89345	-11.38182
200.0424	-15.14155	-1.968611	4.104304	13.13199	5.829847	6.87278	-2.245421	20.11262	-32.85833	-11.36762
200.3852	-11.21969	0.03308247	5.807242	12.20187	-1.757018	24.03385	6.312612	16.39653	-36.45638	-19.95381
200.728	-24.39912	-5.508437	2.641393	-8.960575	-11.42323	18.18966	-1.426853	14.69307	-21.49188	-15.69842
201.0708	-20.1794	4.742198	-5.997514	-20.13845	0.3146556	7.032108	-0.0609919	9.401372	-19.07339	-1.047056
201.4135	-11.63864	15.23153	6.038379	-18.11351	5.313414	-0.8032483	-0.6533064	-5.131342	-26.02563	24.78952
201.7563	-10.71876	7.162277	23.19859	3.317369	2.644253	7.319058	5.630372	0.3903328	-20.04895	18.16334
202.0991	-11.00276	-19.07624	21.58398	3.960864	-4.860708	9.637805	-2.258731	15.15799	-16.76147	-6.267564
202.4418	5.372725	-22.1161	13.88845	11.4571	-15.66444	19.97135	5.363387	20.03285	-19.04563	-25.13085
202.7845	13.50768	-4.341267	5.245534	0.8626673	-8.968307	20.13154	6.556685	7.209855	-14.29878	-16.55788
203.1273	13.61938	-5.546784	9.25458	-2.82903	-6.2177	-2.99799	4.268037	2.500443	-11.51917	0.4301339
203.47	11.467	-11.9377	2.750473	0.5406809	-9.936109	-7.25879	-6.132224	2.090086	-15.3025	9.326953
203.8127	5.490702	-14.81977	-4.892502	12.07134	-15.1044	-5.390595	-8.827271	4.697991	-6.394348	10.24941
204.1554	-8.607583	-10.16815	-0.1795948	9.854447	-13.97629	9.991649	-17.87697	5.196897	-11.01931	-7.472405
204.4981	-9.82925	3.092158	4.625656	11.11573	0.4141651	-3.216229	-13.32661	8.561117	-17.89581	-14.20566
204.8408	-19.32528	-5.281242	-1.202918	9.622063	0.1330588	-0.3078229	3.2215	12.85745	-23.89326	-13.73658
205.1835	14.99212	-13.19717	-6.29364	-1.730937	1.329312	4.370964	14.76607	19.56492	-2.990478	1.388965
205.5261	21.15305	-14.23363	2.421308	-21.48322	-15.72351	1.410123	-3.682557	9.267849	-6.955451	-11.84703
205.8688	13.86128	5.646749	5.471036	-21.01019	-9.34083	-10.69626	-8.428038	3.792075	-6.943934	-8.565415
206.2115	-10.71634	0.6189206	4.544662	-19.81798	-9.784095	-7.630658	2.581756	3.055218	-24.17099	-10.02446
206.5541	13.54278	-14.56386	11.58076	-15.91884	2.00317	11.99933	4.523026	3.468636	-19.22699	-2.040108
206.8967	3.49556	-17.03799	10.62835	-4.58828	3.936632	19.70407	-7.997881	10.5893	-23.82532	2.405134
207.2394	-2.967852	-13.03792	-2.50215	9.886799	12.54405	5.212457	-7.081972	24.91127	-15.77954	8.539342
207.582	0.05681721	0.712893	-17.49457	15.33427	9.81216	-0.8687595	-10.836	29.351	-12.81794	9.903585
207.9246	14.6043	1.334267	-16.88947	11.15039	6.21909	-6.405293	-8.52594	5.475101	3.198168	6.170885
208.2673	-5.205941	8.836781	-14.28255	7.365326	-13.31308	-11.35967	-3.930703	3.970261	2.736316	-2.409208
208.6099	-9.954552	5.205699	0.6404688	8.609694	-20.58696	-16.94457	-3.105105	13.70713	-8.207868	-5.556362
208.9525	3.339475	0.06407616	14.31434	5.506622	-23.59388	-11.66171	1.463575	19.09235	-26.04355	18.84879
209.2951	18.36568	-9.756926	20.71043	-0.07962953	-24.04909	-8.355984	2.702291	10.4028	-20.36353	12.81113
209.6376	12.98487	-3.949216	10.93207	-4.825089	-26.64128	-13.0558	2.270805	8.793208	-17.91644	-6.812918
209.9802	4.654337	5.940945	6.701657	4.068202	-12.60405	-13.16628	-14.205	6.017547	-3.818557	-3.994057
210.3228	3.632629	-0.7904433	11.32459	11.77176	-10.53138	-9.659054	-13.10534	-3.460235	-13.90503	13.25109
210.6653	7.853254	-7.148593	15.97124	15.21044	-7.823197	-2.912881	-13.45307	-1.362607	-12.11553	12.30739
211.0079	-4.979403	-14.70932	7.181915	9.737799	-20.26254	-1.977111	-9.593852	10.95273	-7.636758	-2.864663
211.3504	-5.725954	-15.45116	5.481851	14.6089	-20.38791	8.262139	1.546423	19.91978	4.838429	1.154269
211.693	-2.704853	-12.92314	6.811785	14.61685	-21.75185	19.00905	2.6114	18.6186	-3.969471	-2.638198
212.0355	-11.83375	-0.6889828	8.568115	4.931052	-9.130459	16.19345	9.553313	2.338348	-21.69649	-11.34496
212.3781	-26.88802	5.514297	7.513394	-3.527813	-2.301151	5.776544	18.08751	-6.002812	-30.83857	-27.4434
212.7206	-7.879024	14.01011	0.7288666	-0.6055325	-6.984255	3.201803	18.3097	4.381439	-26.00189	-11.86554
213.0631	12.34687	14.59014	-18.27593	3.811254	-14.72396	-1.956294	-1.028827	-3.035194	-11.551	-1.905343
213.4056	6.152357	1.815768	-17.79559	-0.5530702	-6.013743	-7.259006	-13.28325	-3.75662	-6.961648	-4.518471
213.7481	-6.412876	-6.568848	3.908147	-2.661105	10.67045	-6.761733	-9.78185	-15.93832	-6.752051	-10.22472
214.0906	1.018528	-6.452317	17.90424	-9.540532	12.24378	4.550584	-9.039028	4.401763	-13.20033	0.5584961
214.433	5.347295	-3.380085	8.99028	-18.31468	4.992134	4.119642	-5.277543	12.07501	-27.68855	-0.9996235
214.7755	2.332976	-13.86771	6.209302	2.178486	-1.166326	8.572809	-1.70523	22.09327	-29.98654	-17.59295
215.118	0.02960554	-6.764487	-3.793956	2.962624	-3.006862	5.644586	-11.71839	12.41084	-14.69536	-12.50808
215.4604	-3.307949	-1.740504	-9.284644	-7.271785	-7.529698	12.84276	-6.402922	-4.679746	-1.641371	16.651
215.8029	-11.25639	-3.59593	-13.95337	-9.36356	-17.45094	15.65126	-2.576507	-2.91629	-22.03043	7.938267
216.1453	-14.64465	-8.053832	-6.252515	17.68981	-12.02864	18.66215	4.644491	13.30454	-20.73332	-6.948353
216.4878	-8.51556	-8.502019	-15.53858	30.7399	-14.54084	8.736114	-4.996941	19.31937	-15.62969	-20.91566
216.8302	-8.77635	-4.337456	-4.389395	10.36646	-3.95576	5.765519	10.91043	-2.616749	-5.62376	-15.4168
217.1726	-16.00445	-8.591867	5.47447	-0.720424	-6.521592	2.665639	12.6143	-13.69984	-22.85458	-12.42561
217.515	-1.696327	1.366977	12.79039	-14.37796	12.81216	2.535238	21.99142	4.241797	2.8505	12.03608
217.8574	-3.260672	7.311404	-4.878768	-7.920887	-9.88154	1.115373	14.29868	13.0064	11.49832	21.84162
218.1998	6.576837	7.556157	-6.761616	-1.160753	-18.18342	11.20039	18.84906	19.0343	-11.97295	6.546303
218.5422	-10.6481	7.587453	-0.5521933	8.32682	-14.57746	17.81322	3.373833	7.933349	-33.95041	10.7841
218.8846	-6.846127	8.065751	11.16573	8.213058	9.109747	18.65008	3.831325	16.95589	-19.24039	0.02706434
219.227	-20.55684	16.38515	2.971617	-9.850747	-1.571673	4.598462	1.417757	10.19697	-1.292147	0.1753484
219.5694	2.781495	7.745667	-6.457807	-15.31564	-11.96249	8.012805	14.81605	11.35762	-2.722884	-5.960212
219.9117	9.318957	-3.829297	15.0976	-17.48709	-25.23061	9.720438	17.99325	0.7844856	1.518969	-7.026968
220.2541	7.098449	-11.24555	27.36545	-0.5683926	-15.75434	0.230738	-4.320366	12.26145	-1.135406	-8.06024
220.5964	-14.7089	-0.6421716	14.26267	4.627478	-11.30407	1.282176	-14.62941	6.006191	-8.084788	6.71582
220.9387	-7.601919	-2.837287	-1.959611	5.053333	3.394649	20.06111	-2.35148	8.53848	-13.50509	10.59501
221.2811	1.158556	-22.62733	-0.285953	0.6411862	-0.003805379	25.45869	24.7167	9.812091	-20.91124	-10.94695
221.6234	-4.882448	-18.91793	2.524011	0.4135762	-1.912429	6.359739	22.25953	12.56694	-22.40203	-13.22902
221.9657	-11.74156	0.5056057	4.386941	-10.90599	-7.22924	0.6252467	20.29515	8.063856	-12.5562	8.427553
222.308	-12.3328	4.989468	13.45091	-16.12518	-9.669996	5.387125	4.086759	26.64662	-3.93323	12.48221
